alimentacao;
bico injeção;
carga material canhão;
cilindro;
contrapressão;
curso descompressão;
dimensão canal injeção (runner);
dosagem;
fechamento molde;
força fechamento;
força fechamento molde;
orificio bico;
ponto de contração distante do ponto de injeção;
ponto de contracao próximo ao canal de injeção;
ponto injeção restrito;
pressao injecao;
pressao recalque;
raio bico;
recuo bico injeção;
rotação rosca;
temperatura bico;
temperatura bico injeção;
temperatura ciclindro;
temperatura injeção;
temperatura massa;
temperatura materia-prima;
temperatura molde;
temperatura polímero;
temperatura rosca canhão;
tempo ciclo;
tempo injeção;
tempo pressão injeção;
tempo recalque;
tempo resfriamento;
umidade;
velocidade dosagem;
velocidade inicial injeção;
velocidade injeção;426 OPCdata.SPC.VelInjection Actual injection velocity Velocidade de Injeção
viscosidade;
volume injeção;
